X,Y,fid,id,left,top,right,bottom,row_index,col_index,ELEV_1
183922.790326637,5023761.41821422,163,163,183672.790326637,5024011.41821422,184172.790326637,5023511.41821422,30,4,195.966690063477
183922.790326637,5023261.41821422,164,164,183672.790326637,5023511.41821422,184172.790326637,5023011.41821422,31,4,193.748825073242
183922.790326637,5022761.41821422,165,165,183672.790326637,5023011.41821422,184172.790326637,5022511.41821422,32,4,193.789794921875
184422.790326637,5038761.41821422,166,166,184172.790326637,5039011.41821422,184672.790326637,5038511.41821422,0,5,270.931030273438
184422.790326637,5038261.41821422,167,167,184172.790326637,5038511.41821422,184672.790326637,5038011.41821422,1,5,274.823150634766
184422.790326637,5037761.41821422,168,168,184172.790326637,5038011.41821422,184672.790326637,5037511.41821422,2,5,267.250885009766
184422.790326637,5037261.41821422,169,169,184172.790326637,5037511.41821422,184672.790326637,5037011.41821422,3,5,259.383026123047
184422.790326637,5036761.41821422,170,170,184172.790326637,5037011.41821422,184672.790326637,5036511.41821422,4,5,267.194732666016
184422.790326637,5036261.41821422,171,171,184172.790326637,5036511.41821422,184672.790326637,5036011.41821422,5,5,267.183837890625
184422.790326637,5035761.41821422,172,172,184172.790326637,5036011.41821422,184672.790326637,5035511.41821422,6,5,257.870635986328
184422.790326637,5035261.41821422,173,173,184172.790326637,5035511.41821422,184672.790326637,5035011.41821422,7,5,254.147827148438
184422.790326637,5034761.41821422,174,174,184172.790326637,5035011.41821422,184672.790326637,5034511.41821422,8,5,255.860794067383
184422.790326637,5034261.41821422,175,175,184172.790326637,5034511.41821422,184672.790326637,5034011.41821422,9,5,246.589553833008
184422.790326637,5033761.41821422,176,176,184172.790326637,5034011.41821422,184672.790326637,5033511.41821422,10,5,232.90364074707
184422.790326637,5033261.41821422,177,177,184172.790326637,5033511.41821422,184672.790326637,5033011.41821422,11,5,238.780807495117
184422.790326637,5032761.41821422,178,178,184172.790326637,5033011.41821422,184672.790326637,5032511.41821422,12,5,262.887878417969
184422.790326637,5032261.41821422,179,179,184172.790326637,5032511.41821422,184672.790326637,5032011.41821422,13,5,287.619140625
184422.790326637,5031761.41821422,180,180,184172.790326637,5032011.41821422,184672.790326637,5031511.41821422,14,5,278.090911865234
